title,img_src,product_detail_link,original_price,discount_price,screen_size,resolution
SamsungSmart Tivi QA55Q60D,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34270/smart-tivi-qled_main_229_450.png.webp,https://dienmaycholon.com/tivi/smart-tivi-qled-samsung-4k-55-inch-qa55q60d,17900000,1000,55 inch,4K
TCLGoogle Tivi 55P638,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_31050/google-tivi-tcl_main_706_450.png.webp,https://dienmaycholon.com/tivi/google-tivi-tcl-4k-55-inch-55p638,10490000,7990000,55 inch,4K
TCLGoogle Tivi 43C655,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34369/google-tivi-tcl_main_558_450.png.webp,https://dienmaycholon.com/tivi/google-tivi-tcl-qled-4k-43-inch-43c655,9990000,7990000,43 inch,4K
SamsungSmart Tivi UA43AU7002,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_30657/smart-tivi-sams_main_533_450.png.webp,https://dienmaycholon.com/tivi/smart-tivi-samsung-4k-uhd-43-inch-ua43au7002,8400000,7190000,43 inch,4K
TCLSmart Tivi 43S5400A,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_35355/smart-tivi-tcl-_main_465_450.png.webp,https://dienmaycholon.com/tivi/smart-tivi-tcl-full-hd-43-inch-43s5400a,6590000,5590000,43 inch,Full HD
TCLGoogle Tivi 55P755 Pro,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34209/google-tivi-tcl_main_563_450.png.webp,https://dienmaycholon.com/tivi/google-tivi-tcl-4k-55-inch-55p755-pro,12490000,9990000,55 inch,4K
TCLSmart Tivi 40S5400A,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_32858/smart-tivi-tcl-_main_923_450.png.webp,https://dienmaycholon.com/tivi/smart-tivi-tcl-full-hd-40-inch-40s5400a,5090000,5090000,40 inch,Full HD
SonyBRAVIA 3 K-43S30,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34473/google-tivi-son_main_583_450.png.webp,https://dienmaycholon.com/tivi/sony-bravia-3-led-4k-43-inch-k43s30,15690000,5090000,43 inch,4K
TCLSmart Tivi 32S5400A,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_32857/smart-tivi-tcl-_main_15_450.png.webp,https://dienmaycholon.com/tivi/smart-tivi-tcl-hd-32-inch-32s5400a,4590000,4090000,32 inch,HD
SamsungSmart Tivi QA65Q60D,https://cdn11.dienmaycholon.vn/filewebdmclnew/DMCL21/Picture//Apro/Apro_product_34269/smart-tivi-qled_main_849_450.png.webp,https://dienmaycholon.com/tivi/smart-tivi-qled-samsung-4k-65-inch-qa65q60d,21900000,15990000,65 inch,4K
